CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,70.6313051672398
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,71.9019637504868
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,76.1275826284862
East Asia & Pacific (all income levels),EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.6046188995068
East Asia & Pacific (developing only),EAP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,73.6576165582075
Euro area,EMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,81.3731967418674
Europe & Central Asia (all income levels),ECS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,76.789731923845
Europe & Central Asia (developing only),ECA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,72.4564610738158
European Union,EUU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,80.3842618726
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,61.7711048871514
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,60.3108256800118
High income,HIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,79.1097828969154
High income: nonOECD,NOC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.0710201403492
High income: OECD,OEC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,80.6504347285211
Latin America & Caribbean (all income levels),LCN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.702201501923
Latin America & Caribbean (developing only),LAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.3812773393328
Least developed countries: UN classification,LDC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,62.7747372742946
Low & middle income,LMY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,69.3111304861494
Low income,LIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,60.8127952203478
Lower middle income,LMC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,66.9918690986458
Middle East & North Africa (all income levels),MEA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,72.8960011005759
Middle East & North Africa (developing only),MNA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,72.3475961598045
Middle income,MIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,70.3048643271329
North America,NAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,79.0976488858613
OECD members,OED,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,79.921973877965
Other small states,OSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,61.9989652427917
Pacific island small states,PSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,69.728363316246
Small states,SST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,64.8672040805443
South Asia,SAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,67.7809207251351
Sub-Saharan Africa (all income levels),SSF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,58.0773024021241
Sub-Saharan Africa (developing only),SSA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,58.0764316418292
Upper middle income,UMC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.3170902660733
World,WLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,71.2096146905407
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,60.0282682926829
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,77.537243902439
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.5689512195122
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,51.8661707317073
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,75.7786585365854
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,75.9860975609756
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.5613658536585
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,75.3286585365854
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,82.1975609756098
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,80.890243902439
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,70.6931463414634
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,75.0735365853659
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,76.5459512195122
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,71.245243902439
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,75.3339512195122
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,72.4707317073171
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,80.3853658536585
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,69.9820487804878
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,59.3120243902439
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,80.5724390243902
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,69.1029268292683
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,67.9134390243903
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,76.2769268292683
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,64.3608048780488
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.1224390243903
